transaction_id,date,type,total_balance,amount,remaining_balance,remarks,user_id,recipient,transaction_mode
RFQ6B3,5/16/2024,Mobile Recharge,50241,248,49993,voice call pack,mira,,P2M
K7M7G3,6/24/2024,Bill Payment,35010,6878,28132,internet recharge,john,,P2M
8DYPIJ,12/2/2024,Bill Payment,41192,1456,39736,monthly bill,sita,,P2M
RFQS2Z,6/11/2024,Bill Payment,15654,3204,12450,cable bill,mira,,P2M
WTYIX4,11/14/2024,Bill Payment,65484,17514,47970,insurance premium,john,,P2M
P893AC,10/2/2024,Money Transfer,54847,8098,46749,transfer to friend,john,mira,P2P
RS75OG,6/10/2024,Money Transfer,30093,17517,12576,payment for groceries,aryan,rahul,P2P
703GLM,5/14/2025,Bill Payment,38394,11745,26649,house rent payment,sita,,P2M
C220I7,2/23/2025,Bill Payment,52227,13982,38245,house rent payment,rahul,,P2M
R02890,10/8/2024,Bill Payment,26838,5803,21035,house rent payment,rahul,,P2M
SNAVLH,10/15/2024,Mobile Recharge,16549,61,16488,top-up ntc,aryan,,P2M
ZKJ8DM,8/3/2024,Money Transfer,10711,2009,8702,returned borrowed money,rahul,rahul,P2P
AIJS4L,5/13/2025,Mobile Recharge,38239,83,38156,monthly plan activation,ravi,,P2M
ZB274J,5/7/2025,Mobile Recharge,5110,144,4966,daily voice pack,saloni,,P2M
YIL2I6,5/2/2025,Mobile Recharge,5032,292,4740,prepaid balance refill,shruti,,P2M
A00EBY,4/20/2025,Money Transfer,5673,2644,3029,split dinner cost with shruti,shruti,shruti,P2P
PUVBEO,4/20/2025,Money Transfer,21258,3975,17283,contribution for trip to saloni,shruti,saloni,P2P
0PRY36,5/6/2025,Mobile Recharge,20072,179,19893,daily voice pack,john,,P2M
WZ666O,5/9/2025,Money Transfer,13288,5243,8045,monthly allowance for john,harry,john,P2P
MU1PAP,4/18/2025,Mobile Recharge,48749,67,48682,monthly plan activation,shruti,,P2M
Y8QD4M,5/3/2025,Bill Payment,34207,1817,32390,internet subscription,ravi,,P2M
KOR7ME,4/25/2025,Bill Payment,46126,8375,37751,settled water bill,saloni,,P2M
1EZDID,4/20/2025,Bill Payment,26046,9909,16137,monthly DTH recharge,john,,P2M
0R7MWD,4/29/2025,Bill Payment,23463,4822,18641,monthly DTH recharge,saloni,,P2M
GM1Z1T,4/23/2025,Bill Payment,31841,11846,19995,monthly DTH recharge,aryan,,P2M
V8RNJ7,4/14/2025,Mobile Recharge,4847,327,4520,mobile pack renewal,shruti,,P2M
EBR2XL,4/19/2025,Money Transfer,12163,3085,9078,contribution for trip to john,saloni,john,P2P
Z3JE6K,5/7/2025,Mobile Recharge,46966,93,46873,ntc top-up,neha,,P2M
KR0XRG,5/8/2025,Money Transfer,9611,2951,6660,sent rent to harry,neha,harry,P2P
3GCYXB,4/19/2025,Mobile Recharge,37369,384,36985,monthly plan activation,shruti,,P2M
XJFA8U,4/30/2025,Bill Payment,44770,4381,40389,paid society maintenance,shruti,,P2M
8HOQ37,5/11/2025,Money Transfer,30394,11812,18582,monthly allowance for harry,neha,harry,P2P
W4QTHP,4/17/2025,Money Transfer,20634,13906,6728,shared expenses with ravi,aryan,ravi,P2P
UBMEXT,5/13/2025,Mobile Recharge,33184,206,32978,mobile pack renewal,john,,P2M
W37FV2,5/5/2025,Bill Payment,30091,12348,17743,cleared gas bill,saloni,,P2M
RAZCKL,5/14/2025,Money Transfer,8500,13594,-5094,paid back to ravi,harry,ravi,P2P
QHZ3MH,4/18/2025,Mobile Recharge,49356,239,49117,ntc top-up,john,,P2M
S4K8B6,5/12/2025,Bill Payment,33475,4325,29150,paid electricity bill,harry,,P2M
5RT2M6,4/19/2025,Bill Payment,21569,6561,15008,monthly DTH recharge,john,,P2M
89O5PM,5/9/2025,Bill Payment,46216,9841,36375,property tax payment,harry,,P2M
UGYFFW,4/25/2025,Money Transfer,12939,11897,1042,split dinner cost with harry,shruti,harry,P2P
JS7B0Y,4/26/2025,Money Transfer,12546,6395,6151,split dinner cost with shruti,ravi,shruti,P2P
7OQJG6,4/23/2025,Mobile Recharge,11197,142,11055,prepaid balance refill,aryan,,P2M
CSKJ3T,4/30/2025,Money Transfer,12966,3946,9020,loan repayment to ravi,saloni,ravi,P2P
L9E70B,5/14/2025,Mobile Recharge,43684,322,43362,daily voice pack,shruti,,P2M
9RMR7D,5/11/2025,Bill Payment,28519,1580,26939,paid electricity bill,saloni,,P2M
X3RAL7,5/6/2025,Mobile Recharge,46924,89,46835,daily voice pack,aryan,,P2M
KB06E9,5/9/2025,Money Transfer,45984,5225,40759,sent rent to neha,saloni,neha,P2P
JG5VB2,4/16/2025,Money Transfer,15969,4492,11477,monthly allowance for shruti,harry,shruti,P2P
P9JJI5,4/29/2025,Mobile Recharge,48930,297,48633,prepaid balance refill,harry,,P2M
ONKZJU,4/17/2025,Bill Payment,24833,3546,21287,settled water bill,john,,P2M
0CTVHU,5/9/2025,Bill Payment,28143,7965,20178,monthly DTH recharge,saloni,,P2M
76B1TU,4/14/2025,Bill Payment,48643,11637,37006,property tax payment,aryan,,P2M
YNV7LV,4/16/2025,Money Transfer,46569,2206,44363,gift money to harry,harry,harry,P2P
49F96N,5/5/2025,Bill Payment,36236,2082,34154,cleared gas bill,john,,P2M
TCY7QZ,4/17/2025,Mobile Recharge,4130,202,3928,ncell data recharge,saloni,,P2M
2TDCIN,4/16/2025,Mobile Recharge,18823,209,18614,prepaid balance refill,neha,,P2M
R0416V,4/21/2025,Mobile Recharge,15054,470,14584,monthly plan activation,john,,P2M
PUANRW,4/19/2025,Bill Payment,47096,4120,42976,paid electricity bill,neha,,P2M
BTDN2J,4/27/2025,Mobile Recharge,37081,89,36992,ncell data recharge,aryan,,P2M
8HQ2DI,5/3/2025,Mobile Recharge,9888,280,9608,recharged talktime,john,,P2M
52KY8B,5/12/2025,Mobile Recharge,7978,244,7734,daily voice pack,saloni,,P2M
7TN1RV,5/5/2025,Mobile Recharge,48102,266,47836,ntc top-up,aryan,,P2M
IM4QCP,4/28/2025,Bill Payment,30805,2207,28598,paid society maintenance,saloni,,P2M
F1RMSN,4/25/2025,Mobile Recharge,18920,469,18451,ntc top-up,aryan,,P2M
SAN9Y8,5/11/2025,Money Transfer,33279,9876,23403,monthly allowance for john,shruti,john,P2P
LCGU08,4/17/2025,Money Transfer,4176,391,3785,monthly allowance for shruti,shruti,shruti,P2P
ODVJ21,5/2/2025,Money Transfer,49572,9342,40230,shared expenses with saloni,aryan,saloni,P2P
9OH3NL,5/1/2025,Mobile Recharge,12601,133,12468,ntc top-up,harry,,P2M
R4JZ9C,4/16/2025,Bill Payment,30271,1944,28327,property tax payment,shruti,,P2M
0P99FP,5/3/2025,Bill Payment,11773,2199,9574,paid society maintenance,aryan,,P2M
PIQ2OO,4/15/2025,Mobile Recharge,26087,86,26001,ntc top-up,harry,,P2M
AM3KV5,4/29/2025,Money Transfer,44812,3152,41660,shared expenses with shruti,neha,shruti,P2P
NBKQZT,5/5/2025,Bill Payment,15235,4008,11227,paid society maintenance,harry,,P2M
ZZDVLC,5/2/2025,Mobile Recharge,49455,453,49002,daily voice pack,john,,P2M
FJI7OC,5/6/2025,Bill Payment,22936,9119,13817,monthly DTH recharge,saloni,,P2M
HKBFUC,4/27/2025,Mobile Recharge,13450,54,13396,mobile pack renewal,ravi,,P2M
E0126W,4/22/2025,Bill Payment,48280,11692,36588,internet subscription,neha,,P2M
LB0Y5K,4/22/2025,Bill Payment,42117,9246,32871,internet subscription,john,,P2M
3A6QCP,5/3/2025,Bill Payment,10468,2656,7812,property tax payment,neha,,P2M
OJV4MN,4/14/2025,Bill Payment,14147,10976,3171,internet subscription,shruti,,P2M
5E371Z,5/5/2025,Money Transfer,39158,10980,28178,split dinner cost with neha,shruti,neha,P2P
TAY5VP,4/28/2025,Bill Payment,26299,11111,15188,monthly DTH recharge,shruti,,P2M
XUCCLG,4/14/2025,Bill Payment,19862,9685,10177,cleared gas bill,ravi,,P2M
YARTJ3,5/7/2025,Money Transfer,28417,13609,14808,gift money to saloni,john,saloni,P2P
CAO0KD,4/24/2025,Money Transfer,25589,2026,23563,sent rent to harry,harry,harry,P2P
WS9COB,4/28/2025,Mobile Recharge,6743,400,6343,ncell data recharge,shruti,,P2M
WPBONC,4/19/2025,Money Transfer,16076,12599,3477,shared expenses with john,shruti,john,P2P
2L8E93,4/25/2025,Mobile Recharge,27195,438,26757,daily voice pack,john,,P2M
MLVN3Q,4/27/2025,Bill Payment,12594,11046,1548,cleared gas bill,saloni,,P2M
HTWK1Q,4/21/2025,Bill Payment,33143,13745,19398,paid society maintenance,harry,,P2M
HT20W8,5/13/2025,Money Transfer,43282,7058,36224,contribution for trip to john,john,john,P2P
4OLT3E,4/18/2025,Mobile Recharge,31664,455,31209,mobile pack renewal,ravi,,P2M
96U15H,4/26/2025,Mobile Recharge,41078,442,40636,prepaid balance refill,neha,,P2M
YACBR6,4/21/2025,Money Transfer,16059,10505,5554,paid back to harry,saloni,harry,P2P
OW8NH9,5/3/2025,Mobile Recharge,31181,213,30968,ncell data recharge,shruti,,P2M
RYYEZ7,5/10/2025,Money Transfer,3196,12417,-9221,paid back to neha,shruti,neha,P2P
28SZXB,5/5/2025,Bill Payment,6154,9284,-3130,internet subscription,ravi,,P2M
Q8OTTY,5/4/2025,Mobile Recharge,47736,253,47483,ntc top-up,saloni,,P2M
R1CZIV,4/26/2025,Bill Payment,37836,7343,30493,property tax payment,john,,P2M
1WOOUL,4/30/2025,Mobile Recharge,7358,340,7018,recharged talktime,shruti,,P2M
OWATED,5/1/2025,Bill Payment,49510,2353,47157,internet subscription,shruti,,P2M
1HHEC6,5/3/2025,Bill Payment,19169,87,19082,internet subscription,neha,,P2M
C8UL1W,5/13/2025,Mobile Recharge,22346,468,21878,ntc top-up,saloni,,P2M
OAHX96,4/19/2025,Bill Payment,7705,1841,5864,settled water bill,neha,,P2M
MNPHNW,4/28/2025,Money Transfer,5120,2567,2553,paid back to shruti,john,shruti,P2P
42UMSO,5/7/2025,Bill Payment,28962,5164,23798,settled water bill,neha,,P2M
EIFL6M,5/13/2025,Money Transfer,42563,7831,34732,contribution for trip to harry,harry,harry,P2P
OQFAS0,4/21/2025,Mobile Recharge,32595,411,32184,prepaid balance refill,shruti,,P2M
CH056N,5/5/2025,Bill Payment,38691,12992,25699,property tax payment,neha,,P2M
SI3YG7,4/28/2025,Money Transfer,46979,10904,36075,paid back to shruti,john,shruti,P2P
6ZIMT7,4/29/2025,Money Transfer,13196,2495,10701,sent rent to ravi,harry,ravi,P2P
RRBU1J,5/10/2025,Money Transfer,20923,1194,19729,gift money to john,shruti,john,P2P
PSHK6P,4/18/2025,Bill Payment,14787,11707,3080,paid electricity bill,aryan,,P2M
LNYMHJ,4/29/2025,Money Transfer,42131,14581,27550,coffee meetup share with john,neha,john,P2P
Z1V52I,5/7/2025,Bill Payment,40462,4170,36292,cleared monthly internet,aryan,,P2M
1UUBWX,5/7/2025,Mobile Recharge,37000,139,36861,video call booster recharge,neha,,P2M
EP378V,5/8/2025,Mobile Recharge,5821,92,5729,recharged talktime,ravi,,P2M
1SMATL,4/17/2025,Money Transfer,6052,12814,-6762,went on lunch with ravi,ravi,ravi,P2P
UDDMZD,5/6/2025,Money Transfer,46822,11766,35056,thanks for booking concert tickets shruti,saloni,shruti,P2P
DD6F8N,5/12/2025,Mobile Recharge,18417,318,18099,mobile pack renewal,ravi,,P2M
DPSVJ4,4/20/2025,Bill Payment,18278,7208,11070,paid electricity bill,ravi,,P2M
XJZ1JC,5/6/2025,Money Transfer,7873,12537,-4664,paid back cab fare saloni,john,saloni,P2P
FWL1A3,5/8/2025,Mobile Recharge,21431,416,21015,video call booster recharge,aryan,,P2M
7K9FPK,5/10/2025,Mobile Recharge,36441,393,36048,activated roaming pack,harry,,P2M
ZDV075,4/26/2025,Mobile Recharge,3517,79,3438,bought online game currency,neha,,P2M
9QOKZY,4/14/2025,Bill Payment,40096,13715,26381,Amazon Prime renewal,john,,P2M
8YE6C0,5/4/2025,Money Transfer,42355,14765,27590,thanks for booking concert tickets john,harry,john,P2P
WXVXOP,4/18/2025,Money Transfer,9767,3662,6105,loan repayment to shruti,shruti,shruti,P2P
WG6TLQ,4/21/2025,Money Transfer,39553,4013,35540,paid back for movie night shruti,harry,shruti,P2P
D9W0SQ,5/5/2025,Bill Payment,26336,1986,24350,annual maintenance fees,ravi,,P2M
B9EDY8,5/9/2025,Bill Payment,44219,12043,32176,annual maintenance fees,john,,P2M
RVL2N6,4/16/2025,Money Transfer,42919,2946,39973,sent rent to neha,saloni,neha,P2P
T8AOOC,4/29/2025,Bill Payment,28412,7857,20555,paid house rent online,saloni,,P2M
3DDC0E,5/2/2025,Bill Payment,40984,8049,32935,school fees payment,saloni,,P2M
ROGOEC,5/4/2025,Money Transfer,14237,12397,1840,thanks for booking concert tickets neha,saloni,neha,P2P
0LVO1L,5/5/2025,Mobile Recharge,12963,339,12624,bought online game currency,john,,P2M
EBWVQ1,5/10/2025,Money Transfer,29971,4349,25622,shared expenses with saloni,neha,saloni,P2P
D0YMHA,5/12/2025,Money Transfer,30552,13845,16707,shared expenses with ravi,shruti,ravi,P2P
ZLYPI6,4/19/2025,Bill Payment,8868,9628,-760,monthly DTH recharge,shruti,,P2M
IEKPQ9,5/12/2025,Money Transfer,7293,8557,-1264,paid back cab fare neha,neha,neha,P2P
S8LFMY,4/17/2025,Mobile Recharge,25172,451,24721,ncell data recharge,saloni,,P2M
DI080Q,4/28/2025,Bill Payment,27177,8886,18291,insurance premium paid,john,,P2M
56UWQW,4/14/2025,Mobile Recharge,36847,463,36384,monthly plan activation,harry,,P2M
1UJTKN,5/14/2025,Mobile Recharge,7274,116,7158,boosted gaming credits,aryan,,P2M
CI4F45,4/29/2025,Mobile Recharge,10439,440,9999,mobile pack renewal,john,,P2M
4V0ZU7,5/6/2025,Mobile Recharge,28157,206,27951,monthly plan activation,harry,,P2M
A1O1Y8,5/14/2025,Money Transfer,23470,11978,11492,gift money to shruti,saloni,shruti,P2P
UQCVO7,4/23/2025,Mobile Recharge,38499,125,38374,activated roaming pack,ravi,,P2M
V3VGS4,5/4/2025,Mobile Recharge,49122,247,48875,weekly browsing pack,ravi,,P2M
LSQSDM,5/11/2025,Bill Payment,4415,5805,-1390,settled water charges,john,,P2M
B82NBD,4/17/2025,Money Transfer,15647,7816,7831,trip contribution for john,neha,john,P2P
EYZGNH,5/5/2025,Mobile Recharge,46013,222,45791,prepaid balance refill,neha,,P2M
7RZDAB,5/6/2025,Bill Payment,34615,1844,32771,annual maintenance fees,shruti,,P2M
IT8K5L,5/5/2025,Mobile Recharge,7537,312,7225,video call booster recharge,shruti,,P2M
1KZRQ4,4/27/2025,Money Transfer,7256,11889,-4633,birthday surprise for ravi,neha,ravi,P2P
D7FC8E,4/28/2025,Mobile Recharge,36036,123,35913,monthly plan activation,saloni,,P2M
SN7F26,5/4/2025,Money Transfer,48240,4750,43490,split dinner cost with saloni,harry,saloni,P2P
08OKVJ,5/3/2025,Bill Payment,21173,8837,12336,cleared monthly internet,saloni,,P2M
Y0C30N,4/15/2025,Mobile Recharge,37053,59,36994,bought online game currency,john,,P2M
CAE230,4/24/2025,Money Transfer,46777,734,46043,birthday surprise for shruti,harry,shruti,P2P
M3IGOK,5/1/2025,Bill Payment,9050,508,8542,settled water charges,aryan,,P2M
9MRLOY,5/4/2025,Mobile Recharge,6696,186,6510,ntc top-up,ravi,,P2M
FM1U27,5/8/2025,Mobile Recharge,9715,495,9220,activated roaming pack,john,,P2M
N9WABM,5/4/2025,Money Transfer,21266,14477,6789,trip contribution for saloni,shruti,saloni,P2P
QK3X5L,4/21/2025,Mobile Recharge,30046,298,29748,video call booster recharge,aryan,,P2M
QX1S0H,4/24/2025,Mobile Recharge,49896,271,49625,daily voice pack,john,,P2M
9N0G4H,4/21/2025,Bill Payment,34157,1113,33044,settled water charges,saloni,,P2M
UHC2A8,5/14/2025,Bill Payment,39838,11210,28628,paid house rent online,saloni,,P2M
RIYS3K,5/12/2025,Money Transfer,13789,2473,11316,gift money to shruti,aryan,shruti,P2P
ELED4S,4/26/2025,Money Transfer,17883,12062,5821,thanks for booking concert tickets ravi,harry,ravi,P2P
DRLZJO,5/9/2025,Money Transfer,41627,13413,28214,paid back cab fare ravi,neha,ravi,P2P
2XFE1Z,5/7/2025,Money Transfer,19329,7914,11415,sent rent to ravi,ravi,ravi,P2P
AIY7WJ,4/30/2025,Mobile Recharge,43573,290,43283,weekly browsing pack,john,,P2M
PNMU1V,5/8/2025,Mobile Recharge,46519,121,46398,monthly plan activation,ravi,,P2M
G9X19J,4/23/2025,Money Transfer,8910,4727,4183,paid back cab fare saloni,shruti,saloni,P2P
NUR97D,4/14/2025,Bill Payment,27643,7039,20604,cleared monthly internet,shruti,,P2M
I07GCH,5/7/2025,Money Transfer,15382,8467,6915,split dinner cost with ravi,aryan,ravi,P2P
78O1P7,5/2/2025,Money Transfer,11161,2136,9025,birthday surprise for harry,saloni,harry,P2P
4MJOR8,5/13/2025,Bill Payment,30003,7728,22275,paid electricity bill,shruti,,P2M
IYAIJV,5/14/2025,Money Transfer,26595,3297,23298,birthday surprise for neha,ravi,neha,P2P
0CLSNT,5/12/2025,Bill Payment,11682,8687,2995,paid Spotify family plan,harry,,P2M
VSEBKV,5/12/2025,Bill Payment,16670,5675,10995,monthly DTH recharge,shruti,,P2M
YKFY62,4/22/2025,Mobile Recharge,25001,313,24688,prepaid balance refill,neha,,P2M
7KSOX2,4/28/2025,Money Transfer,39498,14507,24991,loan repayment to ravi,ravi,ravi,P2P
NMHSUO,4/27/2025,Mobile Recharge,28215,261,27954,weekly browsing pack,john,,P2M
H3MZZ0,5/6/2025,Money Transfer,20285,9219,11066,birthday surprise for harry,neha,harry,P2P
1QFNOF,4/21/2025,Bill Payment,21180,5623,15557,school fees payment,aryan,,P2M
ZMTDFV,5/8/2025,Bill Payment,49590,14441,35149,settled water charges,aryan,,P2M
DOH7YM,4/17/2025,Mobile Recharge,3724,69,3655,daily voice pack,ravi,,P2M
1TW8ZA,5/7/2025,Mobile Recharge,27676,235,27441,bought online game currency,ravi,,P2M
S77HSD,5/2/2025,Money Transfer,17387,8435,8952,shared expenses with john,john,john,P2P
7PX2SF,5/8/2025,Mobile Recharge,38645,404,38241,monthly plan activation,aryan,,P2M
CXS01Q,4/18/2025,Money Transfer,43157,5611,37546,sent rent to saloni,saloni,saloni,P2P
4Q6SL4,4/16/2025,Money Transfer,25373,9941,15432,monthly allowance for shruti,john,shruti,P2P
2DVBXP,4/29/2025,Mobile Recharge,9396,386,9010,recharged talktime,saloni,,P2M
UAHSZ8,4/27/2025,Mobile Recharge,3634,235,3399,video call booster recharge,ravi,,P2M
9LSZD7,4/28/2025,Mobile Recharge,40048,465,39583,mobile pack renewal,ravi,,P2M
TH4M2Y,5/13/2025,Money Transfer,49890,2118,47772,coffee meetup share with ravi,john,ravi,P2P
ZLIJKX,5/14/2025,Money Transfer,5183,7246,-2063,paid back for movie night saloni,shruti,saloni,P2P
HMQ10V,5/14/2025,Mobile Recharge,17666,326,17340,prepaid balance refill,shruti,,P2M
WI7HRD,4/30/2025,Mobile Recharge,39424,125,39299,recharged talktime,aryan,,P2M
522WTI,4/17/2025,Money Transfer,32722,6315,26407,coffee meetup share with neha,ravi,neha,P2P
UE5YXD,4/16/2025,Mobile Recharge,38067,273,37794,ntc top-up,neha,,P2M
1F1W35,5/5/2025,Money Transfer,32191,13206,18985,trip contribution for john,ravi,john,P2P
YJ2N7V,4/22/2025,Bill Payment,28694,5179,23515,insurance premium paid,shruti,,P2M
VYP12F,4/16/2025,Money Transfer,31595,4709,26886,coffee meetup share with john,john,john,P2P
WNL5ZF,4/23/2025,Money Transfer,4255,13494,-9239,sent rent to neha,shruti,neha,P2P
AMSXPC,4/22/2025,Mobile Recharge,49755,434,49321,ncell data recharge,aryan,,P2M
RW29DK,4/25/2025,Mobile Recharge,13345,138,13207,ncell data recharge,shruti,,P2M
H8G0IM,4/17/2025,Bill Payment,20168,3986,16182,cleared monthly internet,ravi,,P2M
3VUO25,5/4/2025,Mobile Recharge,17042,207,16835,video call booster recharge,harry,,P2M
U7VZJU,4/20/2025,Mobile Recharge,5531,328,5203,monthly mobile recharge,aryan,,P2M
TJLSWM,5/3/2025,Money Transfer,60648,14297,46351,monthly loan repayment,sita,alex,P2P
RH7Z83,4/24/2025,Mobile Recharge,33845,55,33790,ncell recharge,aryan,,P2M
XXJRY0,4/24/2025,Money Transfer,50631,12704,37927,monthly loan repayment,aryan,alex,P2P
V9EKSX,4/26/2025,Bill Payment,17838,235,17603,postpaid mobile bill,aryan,,P2M
XVPUUM,4/14/2025,Bill Payment,16591,376,16215,postpaid mobile bill,nisha,,P2M
N7N7MI,5/1/2025,Bill Payment,29241,385,28856,cleared water charges,anil,,P2M
3OAQ5Z,4/23/2025,Bill Payment,22113,426,21687,tv cable payment,deepa,,P2M
07N6PH,4/28/2025,Bill Payment,26130,331,25799,internet recharge,deepa,,P2M
4ZRBLH,4/19/2025,Bill Payment,13978,178,13800,internet recharge,anil,,P2M
E52YOO,4/19/2025,Money Transfer,16767,13528,3239,gift for birthday,rohan,kumar,P2P
UVN8RK,4/17/2025,Money Transfer,43234,11868,31366,helped friend,rohan,mira,P2P
OGFOHJ,4/16/2025,Mobile Recharge,20029,66,19963,ncell recharge,anil,,P2M
0LWEDV,4/12/2025,Money Transfer,40307,16448,23859,sent rent,rohan,alex,P2P
0B2ODP,4/13/2025,Bill Payment,28363,429,27934,paid gas bill,aryan,,P2M
H91BO1,5/2/2025,Money Transfer,41035,18489,22546,split vacation cost,aryan,mira,P2P
JPXF08,4/27/2025,Bill Payment,37288,280,37008,internet recharge,deepa,,P2M
UHSZOA,5/3/2025,Bill Payment,40982,247,40735,postpaid mobile bill,deepa,,P2M
WOY247,4/30/2025,Money Transfer,31394,9863,21531,monthly loan repayment,anil,john,P2P
QAKT90,4/22/2025,Money Transfer,29364,10609,18755,shared dinner bill,sita,shruti,P2P
DFJMFJ,4/21/2025,Money Transfer,27814,8497,19317,shared dinner bill,deepa,alex,P2P
6HYY1Y,4/21/2025,Money Transfer,22120,14062,8058,shared dinner bill,aryan,harry,P2P
DPDUAL,5/11/2025,Bill Payment,31004,382,30622,tv cable payment,rohan,,P2M
040VVT,4/17/2025,Money Transfer,18270,166,18104,emergency funds,aryan,kumar,P2P
KVL60F,5/4/2025,Mobile Recharge,4706,121,4585,recharged phone,sita,,P2M
856NEX,4/24/2025,Mobile Recharge,46084,325,45759,ncell recharge,anil,,P2M
BZPSYO,4/20/2025,Bill Payment,50353,424,49929,postpaid mobile bill,nisha,,P2M
GV6QYC,5/11/2025,Money Transfer,43039,1026,42013,shared dinner bill,deepa,harry,P2P
6M4QOO,5/9/2025,Bill Payment,32213,101,32112,tv cable payment,nisha,,P2M
VR8JLF,5/7/2025,Money Transfer,18698,10223,8475,sent rent,rohan,mira,P2P
1N936E,5/8/2025,Money Transfer,41736,5514,36222,repaid borrowed amount,rohan,harry,P2P
ABJ9CT,5/9/2025,Money Transfer,19082,13126,5956,shared dinner bill,anil,harry,P2P
C2AY9Q,5/4/2025,Mobile Recharge,14212,447,13765,quick talktime refill,sita,,P2M
HUDPP5,4/18/2025,Mobile Recharge,46649,358,46291,recharged phone,aryan,,P2M
4GQEWJ,5/1/2025,Money Transfer,61365,14411,46954,helped friend,aryan,kumar,P2P
7N2KDU,4/24/2025,Mobile Recharge,36705,162,36543,quick talktime refill,anil,,P2M
E8L3NY,4/15/2025,Mobile Recharge,15398,76,15322,data pack activation,aryan,,P2M
WX7GQ2,4/28/2025,Bill Payment,43255,438,42817,postpaid mobile bill,deepa,,P2M
J3E91G,4/29/2025,Bill Payment,40830,142,40688,tv cable payment,sita,,P2M
LP7WPG,4/21/2025,Bill Payment,32178,352,31826,paid electricity bill,sita,,P2M
SZLDVY,4/12/2025,Mobile Recharge,7986,233,7753,weekly pack reload,rohan,,P2M
UN19D4,4/20/2025,Money Transfer,29119,7643,21476,monthly loan repayment,anil,shruti,P2P
SHVZCM,4/30/2025,Money Transfer,55564,6838,48726,gift for birthday,rohan,harry,P2P
QSU40Z,4/18/2025,Mobile Recharge,24998,125,24873,quick talktime refill,anil,,P2M
DW0LVB,4/13/2025,Money Transfer,56778,8305,48473,gift for birthday,sita,shruti,P2P
VV8CJT,5/11/2025,Money Transfer,36054,1406,34648,sent rent,aryan,alex,P2P
AXC9E0,4/18/2025,Money Transfer,17548,9422,8126,emergency funds,rohan,harry,P2P
GYVGV1,4/26/2025,Bill Payment,9957,490,9467,settled utility bills,anil,,P2M
MTTNTW,5/8/2025,Money Transfer,24548,15891,8657,repaid borrowed amount,deepa,alex,P2P
2EMJAV,4/22/2025,Money Transfer,42718,9317,33401,helped friend,deepa,shruti,P2P
IKD5VS,5/1/2025,Mobile Recharge,23027,309,22718,quick talktime refill,deepa,,P2M
B248CT,5/10/2025,Money Transfer,58126,10014,48112,shared dinner bill,deepa,mira,P2P
RYBX0X,4/26/2025,Bill Payment,3284,55,3229,internet recharge,aryan,,P2M
1RSJ8Z,5/7/2025,Money Transfer,39992,3333,36659,split vacation cost,rohan,harry,P2P
8V7K68,5/4/2025,Mobile Recharge,9672,116,9556,ncell recharge,sita,,P2M
CN0GZZ,5/2/2025,Money Transfer,40567,10664,29903,monthly loan repayment,deepa,kumar,P2P
AYW41B,5/12/2025,Mobile Recharge,43566,288,43278,weekly pack reload,anil,,P2M
BATMNK,4/30/2025,Bill Payment,19773,73,19700,settled utility bills,sita,,P2M
W3TFAZ,5/2/2025,Money Transfer,52681,17773,34908,emergency funds,nisha,harry,P2P
10KBUD,4/22/2025,Bill Payment,22741,258,22483,postpaid mobile bill,sita,,P2M
KOO669,5/5/2025,Money Transfer,20616,12853,7763,shared dinner bill,deepa,harry,P2P
SHYNC1,4/29/2025,Bill Payment,15466,232,15234,internet recharge,nisha,,P2M
1RVPLN,4/30/2025,Money Transfer,15254,11496,3758,repaid borrowed amount,anil,shruti,P2P
UEG409,5/10/2025,Money Transfer,6501,1689,4812,monthly loan repayment,sita,shruti,P2P
UNGWH3,5/8/2025,Bill Payment,38435,370,38065,monthly subscription,rohan,,P2M
FIAU51,4/30/2025,Bill Payment,34069,69,34000,monthly subscription,deepa,,P2M
UL5E02,5/10/2025,Money Transfer,42569,15931,26638,shared dinner bill,aryan,kumar,P2P
HNHT3E,4/20/2025,Mobile Recharge,24767,167,24600,data pack activation,aryan,,P2M
VBIQZA,4/23/2025,Money Transfer,49565,12393,37172,shared dinner bill,rohan,shruti,P2P
YPRMX0,4/26/2025,Bill Payment,36556,142,36414,monthly subscription,nisha,,P2M
O2F65Q,4/19/2025,Mobile Recharge,5033,234,4799,ncell recharge,rohan,,P2M
5QSCA8,4/20/2025,Bill Payment,49999,65,49934,paid electricity bill,nisha,,P2M
UEYOKJ,4/27/2025,Mobile Recharge,8030,65,7965,quick talktime refill,rohan,,P2M
MEWVIU,4/15/2025,Bill Payment,2009,462,1547,paid electricity bill,sita,,P2M
DC8IR1,4/26/2025,Bill Payment,48913,224,48689,internet recharge,anil,,P2M
R8OHW2,4/26/2025,Bill Payment,44320,411,43909,paid electricity bill,rohan,,P2M
VIIGYV,4/26/2025,Mobile Recharge,18213,110,18103,ntc top-up,sita,,P2M
3KWGES,5/3/2025,Money Transfer,38302,7308,30994,sent rent,rohan,john,P2P
AY4TRJ,4/17/2025,Mobile Recharge,28740,164,28576,quick talktime refill,deepa,,P2M
SSSZKT,4/16/2025,Mobile Recharge,17708,70,17638,voice pack recharge,aryan,,P2M
A7405B,4/22/2025,Mobile Recharge,47795,257,47538,monthly mobile recharge,rohan,,P2M
